,0
0,2013-01-13
1,2013-01-20
2,2013-01-27
3,2013-02-03
4,2013-02-10
5,2013-02-17
6,2013-02-24
7,2013-03-03
8,2013-03-10
9,2013-03-17
10,2013-03-24
11,2013-03-31
12,2013-04-07
13,2013-04-14
14,2013-04-21
15,2013-04-28
16,2013-05-05
17,2013-05-12
18,2013-05-19
19,2013-05-26
20,2013-06-02
21,2013-06-09
22,2013-06-16
23,2013-06-23
24,2013-06-30
25,2013-07-07
26,2013-07-14
27,2013-07-21
28,2013-07-28
29,2013-08-04
30,2013-08-11
31,2013-08-18
32,2013-08-25
33,2013-09-01
34,2013-09-08
35,2013-09-15
36,2013-09-22
37,2013-09-29
38,2013-10-06
39,2013-10-13
40,2013-10-20
41,2013-10-27
42,2013-11-03
43,2013-11-10
44,2013-11-17
45,2013-11-24
46,2013-12-01
47,2013-12-08
48,2013-12-15
49,2013-12-22
50,2013-12-29
51,2014-01-05
52,2014-01-12
53,2014-01-19
54,2014-01-26
55,2014-02-02
56,2014-02-09
57,2014-02-16
58,2014-02-23
59,2014-03-02
60,2014-03-09
61,2014-03-16
62,2014-03-23
63,2014-03-30
64,2014-04-06
65,2014-04-13
66,2014-04-20
67,2014-04-27
68,2014-05-04
69,2014-05-11
70,2014-05-18
71,2014-05-25
72,2014-06-01
73,2014-06-08
74,2014-06-15
75,2014-06-22
76,2014-06-29
77,2014-07-06
78,2014-07-13
79,2014-07-20
80,2014-07-27
81,2014-08-03
82,2014-08-10
83,2014-08-17
84,2014-08-24
85,2014-08-31
86,2014-09-07
87,2014-09-14
88,2014-09-21
89,2014-09-28
90,2014-10-05
91,2014-10-12
92,2014-10-19
93,2014-10-26
94,2014-11-02
95,2014-11-09
96,2014-11-16
97,2014-11-23
98,2014-11-30
99,2014-12-07
100,2014-12-14
101,2014-12-21
102,2014-12-28
103,2015-01-04
104,2015-01-11
105,2015-01-18
106,2015-01-25
107,2015-02-01
108,2015-02-08
109,2015-02-15
110,2015-02-22
111,2015-03-01
112,2015-03-08
113,2015-03-15
114,2015-03-22
115,2015-03-29
116,2015-04-05
117,2015-04-12
118,2015-04-19
119,2015-04-26
120,2015-05-03
121,2015-05-10
122,2015-05-17
123,2015-05-24
124,2015-05-31
125,2015-06-07
126,2015-06-14
127,2015-06-21
128,2015-06-28
129,2015-07-05
130,2015-07-12
131,2015-07-19
132,2015-07-26
133,2015-08-02
134,2015-08-09
135,2015-08-16
136,2015-08-23
137,2015-08-30
138,2015-09-06
139,2015-09-13
140,2015-09-20
141,2015-09-27
142,2015-10-04
143,2015-10-11
144,2015-10-18
145,2015-10-25
146,2015-11-01
147,2015-11-08
148,2015-11-15
149,2015-11-22
150,2015-11-29
151,2015-12-06
152,2015-12-13
153,2015-12-20
154,2015-12-27
155,2016-01-03
